"created_at","user_id","screen_name","text","favorite_count","retweet_count","hashtags","urls_t.co","location"
2021-07-20 20:28:49,"x347279897","Petro_Noticias","OS MOTORES DO NOVO LANÇADOR DE SATÉLITES BRASILEIROS JÁ ESTÃO NA BASE DE ALCÂNTARA, TRANSPORTADOS PELA FORÇA AÉREA: https://t.co/g5AQpzNbVl",0,0,,"https://t.co/g5AQpzNbVl","Rio de Janeiro, Brasil"
2021-07-20 19:48:59,"x797650380238753792","rollo_real","**** Não vai demorar para usarem a nossa base de Alcântara. $$$$$$$$$$$$$$$$$ https://t.co/ONlyKzF0fC",53,7,,"https://t.co/ONlyKzF0fC","Ucrânia"
2021-07-15 00:56:07,"x797650380238753792","rollo_real","**** O turismo espacial entrou definitivamente no cardápio dos bilionários. Agora adivinhem a base de lançamento de muitos deles? Alcântara.",300,60,,,"Ucrânia"
2021-07-20 17:49:58,"x775348515950256129","SimoniBampi","@EduardoLeite_ Tá falando do rodoanel? Ou da Máfia da merenda? Ou, ainda, do Trensalão? Banestado, quem sabe? Ou ainda Sivan, Proer, privataria, reeleição, DNER, Marka/FonteCindam,  Base de Alcântara, Sudan, Sudene, Fundef, Arapongas, FAT?",8,0,,,"Porto Alegre, Brasil"
2021-07-20 17:14:37,"x1330310510793945088","Subsistente3","@RobsonA82965434 Depois da base de Alcantara, tudo o que fizer o PCdoB e em especial o dino para mim não tem valor.",1,0,,,"Brasil do sofrimento e da dor."
2021-07-15 15:19:27,"x1330310510793945088","Subsistente3","@FlavioDino @Guerreiracomun1 Depois da entrega da base de Alcântara o PCdoB e principalmente dino perderam a credibilidade.",0,0,,,"Brasil do sofrimento e da dor."
2021-07-20 16:18:59,"x746858705937907712","jiyushori","Quer dizer que um bilionário careca colocou um foguete tripulado no espaço antes do governo brasileiro com sua grande base de Alcântara?",1,1,,,"Deadlands, Oblivion"
2021-07-20 16:15:16,"x66871414","Guguzeco","Toda noticia sobre a base de Alcântara, corrida espacial 2.0 e agora esse episódio de bilionários vão ao espaço vem essa música na cabeça: https://t.co/x0SEOs3hsq",3,0,,,"Inferno Digital"
2021-07-20 15:33:57,"x1267246448552431618","Homero88751268","Sou cientista estou na base de lançamento de foguetes em Alcântara Maranhão vou por todos os esquerdistas comunistas num foguete e mandar prós quinto da china.",8,1,,,""
2021-07-20 14:03:28,"x783814765185474560","andrefiremaster","nenhum dos agentes americanos que explodiram a base de Alcantara pra explodir o foguete aí do Jefinho <U+0001F614>",0,0,,,"Worlds' End Inn"
2021-07-20 13:35:36,"x91179313","EdenilsonFF","@AvenaOficial Sairá da base de Alcântara.",0,0,,,""
2021-07-20 12:36:25,"x1336854265806073857","FelipeSerejo2","Esta semana cobrei posição do presidente da Câmara Municipal de Alcântara, vereador Claudielson Guterres, o mesmo me informou que está de saída da base aliada do prefeito Pe. William. Ou o padre manda Thiago Lindozo e Sedivan embora ou responderá em CPI na câmara. Arruma a mala!",0,0,,,"Alcântara, Brasil"
2021-07-20 08:56:40,"x178332762","jhzago","@rubem_gonzalez Aqui no Brasil <U+0001F1E7><U+0001F1F7> querem legitimar militar na política, como juiz, um bom exemplo é o entreguista Flávio Dino com a Base de Alcântara, e o Brasil <U+0001F1E7><U+0001F1F7> vai virando um puteiro, com todo respeito às putas, que são mais decentes, pois são honestas ! Honestidade é se mostrar como é !",0,0,,,"Belo Horizonte"
2021-07-19 22:00:10,"x17871562","socioambiental","Nos anos 1980, o Centro de Lançamento de Alcântara (MA) removeu centenas de quilombolas de suas casas. Hoje, as comunidades revivem a ameaça com um projeto de expansão da base de lançamento. ""Foi uma maldade que fizeram, e as sequelas estão todas aí”. <U+0001F447> https://t.co/kz9HdBUnAp",21,9,,"https://t.co/kz9HdBUnAp","Brasil"
2021-07-19 21:02:43,"x71033370","AlexMonteiro93","Ampliação de base espacial da ditadura ameaça repetir despejo de quilombolas https://t.co/eNnbXkzb2p",0,0,,"https://t.co/eNnbXkzb2p","Manaus, Amazonas, Brasil"
2021-07-18 18:57:15,"x4876078755","leylla_fernande","@OmarAzizSenador Aqui no Brasil é assim também. Os EUA vêm e paga até o último homem para prender Lula, dar o golpe bolsonarista e roubar a Petrobras e outras estatais. Os princípios que não precisam de armas, embora tenham instalado uma base em Alcântara e aumentado a produção da Taurus .",0,0,,,""
2021-07-17 22:27:37,"x137548563","BiradoPindare","Ampliação de base espacial da ditadura ameaça repetir despejo de quilombolas | National Geographic https://t.co/vO5tFUPgQK",5,1,,"https://t.co/vO5tFUPgQK","Maranhão, Brasil"
2021-07-17 17:36:44,"x23984791","LaraSfair","Ampliação de base espacial da ditadura ameaça repetir despejo de quilombolas https://t.co/vtiENZZscm via @natgeobrasil",0,0,,"https://t.co/vtiENZZscm","Pasárgada, prox Persépolis"
2021-07-17 16:12:19,"x63708529","BrentMillikan","Ampliação de base espacial da ditadura ameaça repetir despejo de quilombolas https://t.co/9nGF3KqJVO via @natgeobrasil",0,0,,"https://t.co/9nGF3KqJVO","Brasilia, D.F.  BRASIL"
2021-07-17 10:58:14,"x35568011","brenda_brito","Excelente matéria escrita por Ana Mendes sobre a violação de direitos de comunidades quilombolas com a construção da base de Alcântara. Vejam tb vídeo que está página da matéria, com arte da @NayJinknss. Uma narrativa com muita potência e sensibilidade! https://t.co/59bHzayeNf",40,11,,"https://t.co/59bHzayeNf","Belém"
2021-07-17 01:25:51,"x1158930385247637506","AuridenesM","Ampliação de base espacial da ditadura ameaça repetir despejo de quilombolas https://t.co/OsEvfoO78u",0,0,,"https://t.co/OsEvfoO78u",""
2021-07-16 23:11:38,"x1007049419819307008","giovanakury","Ampliação de base espacial da ditadura ameaça repetir despejo de quilombolas https://t.co/Equ2v4AueM via @natgeobrasil",9,3,,"https://t.co/Equ2v4AueM","São Luís, Maranhão"
2021-07-16 23:01:52,"x104547688","Diogotapuio","Ampliação de base espacial da ditadura ameaça repetir despejo de quilombolas | National Geographic https://t.co/umvVyNlLtG",18,9,,"https://t.co/umvVyNlLtG","São Luís-Ma"
2021-07-16 15:05:59,"x1384668856652898310","Telma_Rocha_","@mb_vinicios1 @Stronguer2 @Pontifex_pt Não. Bora estudar!? São décadas de embargos pq Cuba ñ entregou sua soberania para q USA instalar base militar em seu país, como o genocida fez com Alcantara no MA. Esse desgoverno tornou o Brasil uma senzala dos americanos, até permitiu q eles dessem o golpe em 2016.",0,0,,,""
2021-07-16 14:15:00,"x1004079268824059904","portalgmconline","Rafael Alcântara é um meia de 28 anos nascido em São Paulo, mas que começou a carreira nas categorias de base do Barcelona.

Se é notícia, #TáNoGMC 

https://t.co/mEnd6LMbXV",0,0,"TáNoGMC","https://t.co/mEnd6LMbXV","Maringá, Brasil"
2021-07-16 03:58:49,"x813578706564349952","lucasdebelmont","Desde q foram p/ oposição, PDTistas foram a favor de:

Golpe de 2016
PEC do Teto
Intervenção militar no RJ
Eleição de Bolsonaro
Entrega da base de Alcântara aos EUA
Reforma da previdência
Marco legal do saneamento
Absolvição de Eduardo Bolsonaro
Absolvição de Daniel Silveira (+) https://t.co/NmGaI9rRgm",9,2,,"https://t.co/NmGaI9rRgm",""
2021-07-16 04:01:51,"x813578706564349952","lucasdebelmont","@DiegoLADiniz @Ticostacruz @senadorcidgomes @wevertonrocha Desde q foram p/ oposição, PDTistas foram a favor de:

Golpe de 2016
PEC do Teto
Intervenção militar no RJ
Eleição de Bolsonaro
Entrega da base de Alcântara aos EUA
Reforma da previdência
Marco legal do saneamento
Absolvição de Eduardo Bolsonaro
Absolvição de Daniel Silveira (+)",1,0,,,""
2021-07-16 02:37:16,"x1387578130303496192","Joaoext34572687","@Ardu37287711 @exercitooficial @CmdoCMA Se está dizendo sobre a base de Alcântara, ela pode ser acessado por brasileiros autorizados e contêineres lacrados não podem entrar sem antes ser feito a inspeção. 
E todo os recursos gerado na base seram aplicados no Programa Espacial Brasileiro.
+",0,0,,,""
2021-07-16 02:36:55,"x1408608158868770816","JoaoBat31171280","@thiamparo Tenho 65 anos. O único militar. Que admiro e o major Alfeu de Alcântara Monteiro. Foi assinado na base aérea de Canoas rs por se opor al regime em 64.vale a pena pesquisar   sobre ele.",10,0,,,"Porto Alegre, Brasil"
2021-07-15 13:05:14,"x1262904827593580545","ForoniBruno","O próximo será na Base de Alcântara, feito de Nióbio, mas só depois da Reforma Tributária e a Privatização da Petrobrás...ok? Amém? https://t.co/6H9kAVYVns",0,0,,"https://t.co/6H9kAVYVns","Paranauê/Paraná"
2021-07-15 12:46:01,"x1259192100853334016","Ricar_001","@allandospanos Marielli
Queiroz 
Base de Alcântara pros gringos
Rachadinhas
US$5.00 de propina por dose de vacina.

O bucho do mandrião é problema dele. O resto é problema nosso.",0,0,,,"alhures"
2021-07-15 03:15:14,"x199299140","uelbersantos","Eis a ex-querda brasileira:
BR Distribuidora - Já foi
Base de Alcântara - Já foi
EMBRAER - Já foi
GASPETRO - Já foi
PREVIDÊNCIA - Já foi
DIREITOS TRABALHISTAS - Já foi
CEITEC - Já foi
PRÉ - SAL - Já foi
ELETROBRÁS - Já foi...
E a ex-querda?
Essa anda preocupada com * alheio...",46,17,,,"salvador"
2021-07-14 18:49:17,"x1313149773864722433","isfdino","@DudinhaMorei @joCRFla @futebol_info a meta é esperar que o thiago alcantara seja o proximo a cavar husandskdas ja que ele basou por nossas categorias de base",1,0,,,"Vitória da Conquista, Brasil"
2021-07-14 18:16:58,"x159103426","efrainalcolumbr","@elonmusk qual a possibilidade da @SpaceX se instalar em Países como Brasil e utilizar nossa base de lançamento de foguetes em Alcantara no Maranhão Brasil?",0,0,,,""
2021-07-14 16:15:00,"x48051084","oyafuso","Esse terceiro filme de Animais Fantásticos é que nem a base de lançamentos de Alcântara. Esquece isso, gente. https://t.co/rBvL3EPZJy",0,0,,"https://t.co/rBvL3EPZJy","São Paulo, Brazil"
2021-07-14 15:12:34,"x718644673405960192","hamenteslivres","Lula conseguiu impedir a privatização do Banco do Brasil, da Petrobrás, da Base de Alcântara, entre outras!
Volta Lula!
 #LulaPresidente <U+0001F31F> https://t.co/lewJ1MXJLR",43,16,"LulaPresidente",,"Brasil"
